drug,creationDate,type,status,targets
DB00001,2005-06-13,biotech,approved,BE0000048
DB00002,2005-06-13,biotech,approved,BE0000767;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00003,2005-06-13,biotech,approved,BE0004796
DB00004,2005-06-13,biotech,approved,BE0000658;BE0000651;BE0002102
DB00005,2005-06-13,biotech,approved,BE0000704;BE0000949;BE0000710;BE0002097;BE0002098;BE0002099;BE0002100;BE0001087;BE0000901;BE0001529;BE0002093;BE0002094;BE0002095;BE0002096
DB00006,2005-06-13,small molecule,approved,BE0000048
DB00007,2005-06-13,biotech,approved,BE0000203
DB00008,2005-06-13,biotech,approved,BE0000385;BE0000661
DB00009,2005-06-13,biotech,approved,BE0000211;BE0000538;BE0000717;BE0000240
DB00010,2005-06-13,biotech,withdrawn,BE0000625
DB00011,2005-06-13,biotech,approved,BE0000385;BE0000661
DB00012,2005-06-13,biotech,approved,BE0000654
DB00013,2005-06-13,biotech,withdrawn,BE0000211;BE0000717;BE0000895;BE0001088;BE0000240;BE0000969;BE0002112;BE0000942;BE0001656;BE0002113
DB00014,2005-06-13,small molecule,approved,BE0000134;BE0000203
DB00015,2005-06-13,biotech,approved,BE0000211;BE0000538;BE0000717;BE0000240
DB00016,2005-06-13,biotech,approved,BE0000654
DB00017,2005-06-13,biotech,approved,BE0000431
DB00018,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00019,2005-06-13,biotech,approved,BE0000793;BE0000394
DB00020,2005-06-13,biotech,approved,BE0000628;BE0001036;BE0002115;BE0002116;BE0002114
DB00021,2005-06-13,biotech,approved,BE0000318
DB00022,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00023,2005-06-13,biotech,approved,BE0004798
DB00024,2005-06-13,biotech,approved,BE0000490
DB00025,2005-06-13,biotech,approved,BE0000216;BE0000364;BE0001043;BE0002117;BE0002118;BE0001098;BE0002109;BE0001011;BE0002119;BE0002110;BE0002120
DB00026,2005-06-13,biotech,approved,BE0000565
DB00027,2005-06-13,small molecule,approved,NA
DB00028,2005-06-13,biotech,approved,BE0000710;BE0004684;BE0002098;BE0002099;BE0002100;BE0002097;BE0000901;BE0003455;BE0004685;BE0004686;BE0000855
DB00029,2005-06-13,biotech,approved,BE0000211;BE0000538;BE0000717;BE0000240
DB00030,2005-06-13,biotech,approved,BE0000033;BE0000858;BE0002123;BE0000941;BE0001183;BE0002124;BE0001123;BE0002125;BE0001147;BE0000942;BE0002126;BE0002127
DB00031,2005-06-13,biotech,approved,BE0000211;BE0000538;BE0000717;BE0000240;BE0000969;BE0002104;BE0002105;BE0001170;BE0002109;BE0001011;BE0002110
DB00032,2005-06-13,biotech,approved,BE0000387;BE0000134
DB00033,2005-06-13,biotech,approved,BE0000711;BE0000467
DB00034,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00035,2005-06-13,small molecule,approved,BE0000293;BE0000165;BE0000773
DB00036,2005-06-13,biotech,approved,BE0000216;BE0002128;BE0000967;BE0000403;BE0000333;BE0001178
DB00038,2005-06-13,biotech,approved,BE0000416
DB00039,2005-06-13,biotech,approved,BE0000748;BE0002129;BE0002131;BE0001203;BE0002133;BE0001031
DB00040,2005-06-13,biotech,approved,BE0000527;BE0002134;BE0000857
DB00041,2005-06-13,biotech,approved,BE0000651;BE0000658;BE0002102
DB00042,2005-06-13,biotech,approved,BE0002137;BE0002136;BE0002138
DB00043,2005-06-13,biotech,approved,BE0000015;BE0002139
DB00044,2005-06-13,biotech,approved,BE0000134
DB00045,2005-06-13,biotech,withdrawn,BE0001164
DB00046,2005-06-13,biotech,approved,BE0000033;BE0000858
DB00047,2005-06-13,biotech,approved,BE0000033;BE0000858
DB00048,2005-06-13,biotech,approved,BE0000025;BE0002140;BE0002130;BE0002141
DB00049,2005-06-13,biotech,approved,BE0004823
DB00050,2005-06-13,small molecule,approved,BE0000203;BE0000134
DB00051,2005-06-13,biotech,approved,BE0000704;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00052,2005-06-13,biotech,approved,BE0000075;BE0000345
DB00053,2005-06-13,biotech,approved,BE0004806
DB00054,2005-06-13,biotech,approved,BE0001155;BE0000439;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100;BE0001068
DB00055,2005-06-13,biotech,withdrawn,BE0000016;BE0000041;BE0000240;BE0001151;BE0000943;BE0001140;BE0000048;BE0001129;BE0002112;BE0002142;BE0000403;BE0001161
DB00056,2005-06-13,biotech,approved,BE0000674;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00057,2005-06-13,biotech,withdrawn,BE0004842
DB00058,2005-06-13,biotech,approved,BE0000394
DB00059,2005-06-13,biotech,approved,BE0004798
DB00060,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00061,2005-06-13,biotech,approved,BE0004828;BE0000917
DB00062,2005-06-13,biotech,approved,NA
DB00063,2005-06-13,biotech,approved,BE0001155
DB00065,2005-06-13,biotech,approved,BE0000704
DB00066,2005-06-13,biotech,approved,BE0000387
DB00067,2005-06-13,small molecule,approved,BE0000293;BE0000165;BE0000773
DB00068,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00069,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00070,2005-06-13,biotech,approved,BE0004821;BE0000984
DB00071,2005-06-13,biotech,approved,BE0000033;BE0000858;BE0001183;BE0002122;BE0004466;BE0002123;BE0000941;BE0001123;BE0002124;BE0002125;BE0001147;BE0000942;BE0002126;BE0002127
DB00072,2005-06-13,biotech,approved,BE0000511;BE0000767;BE0002093;BE0002094;BE0002095;BE0002096;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100;BE0000901;BE0002097
DB00073,2005-06-13,biotech,approved,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00074,2005-06-13,biotech,approved,BE0000658;BE0000651;BE0000710;BE0002097;BE0002098;BE0002099;BE0002100;BE0000901;BE0001529;BE0002093;BE0002094;BE0002095;BE0002096
DB00075,2005-06-13,biotech,approved,BE0003456;BE0000274;BE0003457;BE0003458;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00076,2005-06-13,biotech,approved,BE0004837
DB00078,2005-06-13,biotech,approved,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00080,2005-06-13,small molecule,approved,BE0004833;BE0004832
DB00081,2005-06-13,biotech,approved,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00082,2005-06-13,biotech,approved,BE0000075
DB00083,2005-06-13,biotech,approved,BE0000390;BE0003572
DB00085,2005-06-13,biotech,approved,BE0004834;BE0004835;BE0004836
DB00086,2005-06-13,biotech,approved,BE0000211;BE0000928
DB00087,2005-06-13,biotech,approved,BE0000083;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00088,2005-06-13,biotech,approved,BE0004806
DB00089,2005-06-13,biotech,approved,BE0000568
DB00090,2005-06-13,biotech,approved,BE0004822
DB00091,2005-06-13,small molecule,approved,BE0000379;BE0002143;BE0001014;BE0001399
DB00092,2005-06-13,biotech,withdrawn,BE0000719;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100;BE0000901
DB00093,2005-06-13,small molecule,approved,BE0000165
DB00094,2005-06-13,biotech,approved,BE0000387
DB00095,2005-06-13,biotech,approved,BE0000516;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00097,2005-06-13,biotech,approved,BE0000134;BE0000387
DB00098,2005-06-13,biotech,approved,BE0000598;BE0003573;BE0000516;BE0000846;BE0002099;BE0003488;BE0003575;BE0003576;BE0001155
DB00099,2005-06-13,biotech,approved,BE0000793;BE0000394
DB00100,2005-06-13,biotech,approved,BE0000216;BE0001021;BE0000333;BE0000016;BE0000048;BE0002110;BE0000403
DB00102,2005-06-13,biotech,approved,BE0000205;BE0000852;BE0000910
DB00103,2005-06-13,biotech,approved,BE0004830
DB00104,2005-06-13,small molecule,approved,BE0000452;BE0002147;BE0003528
DB00105,2005-06-13,biotech,approved,BE0000385;BE0000661
DB00106,2005-06-13,small molecule,withdrawn,BE0000203
DB00107,2005-06-13,biotech,approved,BE0000844;BE0000751
DB00108,2005-06-13,biotech,approved,BE0000590;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100;BE0001085
DB00109,2005-06-13,biotech,approved,BE0000398
DB00110,2005-06-13,biotech,approved,BE0000686;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00111,2005-06-13,biotech,withdrawn,BE0000658;BE0000651;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00112,2005-06-13,biotech,approved,BE0000163;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00113,2005-06-13,biotech,approved,BE0000107
DB00114,2005-06-13,small molecule,approved,BE0000102;BE0000378;BE0000323;BE0000392;BE0000331;BE0000151;BE0000529;BE0000424;BE0000404;BE0000727;BE0000253;BE0000181;BE0000778;BE0000692;BE0000273;BE0000482;BE0000007;BE0000660;BE0000079;BE0000002;BE0000448;BE0000164;BE0000518;BE0000618;BE0000667;BE0000603;BE0000409;BE0000316;BE0000278;BE0000441;BE0000791;BE0000517;BE0000721;BE0002149;BE0000822;BE0000383;BE0002150;BE0000916;BE0002151;BE0002152;BE0002153;BE0002154;BE0002155;BE0002156;BE0002157;BE0002158;BE0002159;BE0002160;BE0002161;BE0002162;BE0002163;BE0004605;BE0004612;BE0002164;BE0002165;BE0000292;BE0000898;BE0002166;BE0002167;BE0002168;BE0002169;BE0002170;BE0000388;BE0002171;BE0002172;BE0002173;BE0002174
DB00115,2005-06-13,small molecule,approved,BE0000734;BE0000777;BE0000763;BE0000320;BE0002175;BE0002176
DB00116,2005-06-13,small molecule,other,BE0000617;BE0000268;BE0000010;BE0000933;BE0000734;BE0000822;BE0001240;BE0000331;BE0000292;BE0002176;BE0002154;BE0002177
DB00117,2005-06-13,small molecule,approved,BE0000002;BE0000740;BE0000285;BE0000086
DB00118,2005-06-13,small molecule,approved,BE0000372;BE0000101;BE0000304;BE0000323;BE0000407;BE0002089;BE0008997;BE0005015
DB00119,2005-06-13,small molecule,approved,BE0000449;BE0000178;BE0000102;BE0000386;BE0000046;BE0000174;BE0000440;BE0000098;BE0000088;BE0000253;BE0000195;BE0000361;BE0000669;BE0000698
DB00120,2005-06-13,small molecule,approved,BE0000692;BE0000789;BE0000038;BE0000753;BE0000028;BE0000561;BE0000614
DB00121,2005-06-13,small molecule,approved,BE0000544;BE0000159;BE0000094;BE0000072;BE0000702;BE0000445;BE0000698;BE0000492;BE0000626
DB00122,2005-06-13,small molecule,approved,BE0000494;BE0000426;BE0000615;BE0002179;BE0002180;BE0002181;BE0002186;BE0002341
DB00123,2005-06-13,small molecule,approved,BE0000212;BE0000052;BE0000136;BE0000562;BE0000198
DB00125,2005-06-13,small molecule,approved,BE0000263;BE0000136;BE0000448;BE0000520;BE0000005;BE0000212;BE0000758;BE0000052;BE0000671
DB00126,2005-06-13,small molecule,approved,BE0004338;BE0001361;BE0004796;BE0001225;BE0002192;BE0002117;BE0002195;BE0002197;BE0000138;BE0002200;BE0000060;BE0002202;BE0002203;BE0002205;BE0002206;BE0002208;BE0002210;BE0002211;BE0002213;BE0002215;BE0002217;BE0000168;BE0000087;BE0002219;BE0002221;BE0002223
DB00127,2005-06-13,small molecule,approved,BE0000964;BE0000566;BE0004796;BE0000404;BE0000509;BE0000172;BE0000694
DB00128,2005-06-13,small molecule,approved,BE0003317;BE0003751;BE0000277;BE0000529;BE0000187;BE0000219;BE0000671;BE0000481;BE0000383;BE0000725;BE0000235;BE0000528;BE0002225;BE0002227;BE0002228;BE0001054;BE0002152;BE0000788;BE0002229;BE0002230;BE0002231;BE0002232
DB00129,2005-06-13,small molecule,approved,BE0000424;BE0000306;BE0000286;BE0000371;BE0000562;BE0000258;BE0000052;BE0000212;BE0000758;BE0000201;BE0000136;BE0002233;BE0000347;BE0002234
DB00130,2005-06-13,small molecule,approved,BE0000874;BE0000374;BE0002240
DB00131,2005-06-13,small molecule,approved,BE0000958;BE0004796;BE0001277;BE0000487;BE0000007;BE0000254;BE0001473;BE0001287;BE0000746;BE0000350;BE0000677;BE0000774;BE0000269;BE0000639;BE0002431;BE0003540
DB00132,2005-06-13,small molecule,approved,BE0000888;BE0002246;BE0000986;BE0001023;BE0002247;BE0000071;BE0001777;BE0001007;BE0000215;BE0000412
